comment,channel_name,date,like_count,dislike_count
Nama kok roundel,@zulfahmiputra4540,2024-08-11 05:35:24+00:00,0,0
BALOY GA MAU TOS SAMA NAEL WKWKWK EMOSI 😂😂😂,@andytanjung5340,2024-08-11 05:24:11+00:00,0,0
LANGSUNG SAJA PIALANYA KASIH KING AE,@JubjubChangnoi,2024-08-11 05:05:57+00:00,0,0
AE Kurang exp sama roamer nya yang lain udah bagus 👍,@dcbgeming.......121,2024-08-11 04:43:07+00:00,5,0
RRQ❤❤,@mr_skycool,2024-08-11 04:41:31+00:00,0,0
"Emang masih panjang sih perjalanan gobs buat gantiin posisi luke, semangat gobs!",@Zazoganas,2024-08-11 04:20:16+00:00,0,0
Fluffy ngelawak 2 match wkwkwkwk,@astis0944,2024-08-11 04:17:05+00:00,0,0
"Jauh² dari philipin, cuma bisa helcurt😅.
Dingin ngak siiii😂",@Ars-06A,2024-08-11 04:15:20+00:00,4,0
GG IDOK❤,@footballcomplete,2024-08-11 04:14:41+00:00,0,0
Momongnya stm circle epep,@NizarPp-xm7cd,2024-08-11 04:12:26+00:00,0,0
4:58:30 mic check rrq,@haihaiopoopo,2024-08-11 04:09:35+00:00,2,0
Kagak salamana baloy sama nael wkwk,@AripikSibungsu04,2024-08-11 04:05:27+00:00,0,0
Baloyyy knpa ga mau tosan Ama nael????,@diditalfales522,2024-08-11 04:03:03+00:00,0,0
Nnael tetaplah nnael😂,@ಠ_ರೃ,2024-08-11 03:47:55+00:00,0,0
yo bisa yo rrq,@fauzaayudiaputra7266,2024-08-11 03:39:43+00:00,0,0
coach rekt,@12MURIDYOSHUA,2024-08-11 03:33:46+00:00,0,0
"Bingung kenapa haya berani banget dilepas, gw yang kurang di draft aja tau tuh hero op parah",@dariel.chirtan,2024-08-11 03:31:13+00:00,1,0
nnael x baloisky,@channelnyabapakku9731,2024-08-11 03:20:57+00:00,0,0
GG Naelll 🤩🤩🤩🤩,@Yudaaaaaaa,2024-08-11 03:17:30+00:00,1,0
Re-generasi..,@historyAhmad,2024-08-11 03:16:39+00:00,0,0
8:15:47 loh loh loh😂😂😂,@peachiee_4,2024-08-11 03:09:36+00:00,3,0
mantap ae,@c3nyoo,2024-08-11 03:00:03+00:00,0,0
El hitung semangat banget njirr😂🗿,@hot9611,2024-08-11 02:51:58+00:00,1,0
salfok nnael di cuekin baloy haha,@muhammadhafidz4197,2024-08-11 02:50:29+00:00,1,0
Baloy baperan 🤣🤣,@TodorokiMurayama,2024-08-11 02:47:38+00:00,0,0
"Monika kalo nanya2 condong ke absurd, kalo budeh nanya nya masuk ke apa yg dialami. Jadi lebih milih budehhh",@yor_rex,2024-08-11 02:46:13+00:00,0,0
Haji Hengky,@kurwadi9208,2024-08-11 02:45:46+00:00,0,0
biasakan nonton AE sampe akhir ya adik adikkk,@ceyy-oh5qs,2024-08-11 02:43:47+00:00,0,0
hyaos nya gk kayak plap tzy,@residenneurologi5459,2024-08-11 02:29:06+00:00,0,0
Nino nino,@wadju44,2024-08-11 02:29:01+00:00,0,0
4:26:21 bisa mengontol kata awl😭😭😭🙏🙏,@birdboy8954,2024-08-11 02:27:02+00:00,11,0
gg bene,@residenneurologi5459,2024-08-11 02:26:50+00:00,0,0
Semoga julukan king slayer berhenti setelah nnael dan luke out,@FantzeOfficial,2024-08-11 02:24:43+00:00,0,0
Nnael dan Baloyy gk tos tosan njir😂😂,@KRISTOFEN99,2024-08-11 02:22:06+00:00,1,0
AE tanpa sir pai kek ada yg kurang,@rejentadarus1609,2024-08-11 02:18:48+00:00,0,0
"Aran mainnya mulai kayak org mabok.
Gugun bagus cmn di satu atau 2 game. Trus klo Yawi main under perform, dia langsung ikutan main jelek, bukanya gendong² atau minimal cover lah.
Midlane Aura ibarat istilah ""from bad to worse"" dari season 13 ke 14. Demam panggung tuh.. kayak kebingungan apa yg harus dilakukan. Buru² switch tuh midlane klean.
Kabuki klo dibiarin main sm tmen² yg bapuk, lama² bakalan ikutan bapuk, macam nino goldlane di AE.",@rockjawchannel9585,2024-08-11 02:16:06+00:00,1,0
3:35:08 merinding banget dengernya 🥲,@Sanjii2611,2024-08-11 01:59:03+00:00,4,0
Ruby KYY lawak juga😂,@cupcupmua,2024-08-11 01:57:31+00:00,1,0
Monica😋,@castingbersama,2024-08-11 01:49:01+00:00,0,0
Lawak mau nama liquid juga😂😂..tpi gk bisa menang😂😂,@mohdaizat0302,2024-08-11 01:41:02+00:00,0,0
Moreno kelas,@renzZz14,2024-08-11 01:31:46+00:00,0,0
"Bjirrrrrrrr penontonnya 5,4jt",@Irma96rahma,2024-08-11 01:27:53+00:00,0,0
Sekarang semuwa tim udah jago semuwa,@MuhammadTasrif-r4t,2024-08-11 01:27:43+00:00,0,0
"Di season 14 ini udah banyak tim yg improve, kayak RRQ yg padahal rata rata player ML nebak EVOS yg menang, eh malah RRQ 2-0 EVOS, AE juga, dan banyak tim tim lain yang udah improve besar2 an. Bakal seru sih ini season dan kyknya ga bakal jadi liga tani buat Onic lagi",@HhD16,2024-08-11 01:24:09+00:00,11,0
